"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"129",1,1,45,1,1,2,2,2,0.275076
"130",1,1,26,1,1,1,1,1,0.5
"131",2,1,22,1,1,1,2,1,0.5
"132",2,1,36,2,1,2,2,2,0.4377778
"133",2,1,24,1,1,1,2,1,0.3955224
"134",2,1,35,2,1,2,2,2,0.5
"135",2,1,40,2,2,2,2,2,0.1353712
"136",2,1,27,1,1,1,2,1,0.3683127
"137",1,1,21,2,1,1,2,1,0.522388
"138",1,1,22,1,1,1,2,1,0.4983923
"139",2,1,23,2,2,2,2,1,0.5253165
"140",2,1,21,1,1,2,2,2,0.4048583
"141",1,1,44,1,1,2,2,2,0.4155496
"142",2,1,21,1,1,1,2,1,0.5
"143",2,1,45,1,1,1,2,1,0.1779425
"144",1,1,41,2,1,2,2,2,0.5172414
"145",1,1,34,1,1,1,2,1,0.5
"146",2,1,48,1,1,2,2,1,0.378
"147",1,1,60,1,1,2,2,2,0.4711779
"148",2,1,25,2,2,2,2,2,0.5386417
"149",2,1,37,2,1,1,1,2,0.5222222
"150",1,1,44,1,1,2,2,2,0.3746702
"151",2,1,31,2,2,2,2,2,0.5012225
"152",2,1,44,2,2,2,1,1,0.3932584
"153",2,1,34,2,1,2,2,2,0.245
"154",2,1,25,1,1,1,1,1,0.4048443
"155",2,1,38,2,1,2,2,2,0.283906
"156",2,1,51,2,1,2,2,2,0.52
"157",2,1,40,2,1,2,2,2,0.4143763
"158",2,1,59,2,1,1,2,2,0.5994236
"159",2,1,61,1,1,1,1,2,0.5238096
"160",1,1,40,2,1,2,2,2,0.4302671
"161",2,1,26,2,2,2,2,2,0.1842105
"162",1,1,40,2,1,2,2,1,0.6
"163",2,1,28,1,1,2,2,2,0.4089069
"164",1,1,25,2,2,2,2,2,0.2338028
"165",1,1,54,2,1,2,2,2,0.4394619
"166",2,1,35,2,1,2,2,2,0.3185053
"167",2,1,52,2,1,2,2,2,0.5193236
"168",2,1,37,2,2,2,2,2,0.4532374
"169",1,1,30,2,2,2,2,2,0.4817814
"170",2,1,31,1,1,2,2,2,0.4587459
"171",1,1,34,2,1,2,2,2,0.3754579
"172",2,1,24,1,1,1,2,1,0.5022421
"173",2,1,32,2,2,1,2,2,0.5
"174",2,1,51,1,1,2,2,2,0.4589666
"175",1,1,26,2,2,2,2,2,0.502994
"176",1,1,25,2,2,2,2,2,0.5
"177",2,1,39,2,1,1,1,2,0.4666667
"178",2,1,33,1,1,1,1,1,0.5
"179",2,1,40,2,1,2,2,2,0.5255474
"180",2,1,30,1,1,2,2,2,0.4868106
"181",2,1,22,2,2,2,2,2,0.4981818
"182",2,1,35,2,1,2,2,2,0.3338954
"183",2,1,55,1,1,2,2,2,0.4193548
"184",1,1,40,2,1,2,2,2,0.5202703
"185",2,1,32,1,1,2,2,1,0.5
"186",2,1,20,1,1,2,2,1,0.5190616
"187",2,1,29,2,2,2,2,2,0.4159836
"188",2,1,42,2,2,2,2,2,0.502439
"189",2,1,22,1,1,1,2,1,0.5794872
"190",1,1,43,2,1,2,1,1,0.5377358
"191",2,1,42,1,1,1,1,1,0.5192308
"192",2,1,27,2,2,2,2,2,0.5212355
"193",2,1,30,2,1,2,2,2,0.4979757
"194",2,1,42,2,1,2,2,2,0.3265007
"195",2,1,46,2,1,2,2,2,0.4976959
"196",2,1,50,1,1,2,2,2,0.5209125
"197",1,1,22,2,2,1,1,2,0.5222222
"198",2,1,50,1,1,2,2,2,0.4020979
"199",2,1,35,2,1,2,2,2,0.4460432
"200",2,1,45,1,1,1,2,1,0.3314815
"201",2,1,59,1,1,2,1,1,0.4983923
"202",1,1,22,1,1,2,2,1,0.5
"203",2,1,60,1,1,2,2,2,0.4478022
"204",2,1,26,2,1,1,2,1,0.3933333
"205",2,1,43,2,1,1,1,2,0.5
"206",2,1,44,2,1,1,2,2,0.3950276
"207",2,1,41,2,1,2,2,2,0.5
"208",2,1,47,1,1,2,1,1,0.4954955
"209",1,1,23,2,2,2,2,1,0.5
"210",2,1,22,2,2,1,1,2,0.5
"211",1,1,37,1,1,2,2,1,0.5172414
"212",1,1,31,1,1,2,2,2,0.4976959
"213",2,1,24,1,1,1,1,1,0.5238096
"214",1,1,48,1,1,2,2,2,0.5
"215",1,1,21,2,1,1,2,1,0.5505618
"216",2,1,32,1,1,1,1,1,0.52
